offset,solved,method,witness,seconds
81,0,,,0.000000
97,0,,,0.000000
159,0,,,0.000000
217,0,,,0.000000
247,0,,,0.000000
259,1,full_prime_scan,1596877157,0.000000
307,0,,,0.000000
423,0,,,0.000000
471,0,,,0.000000
487,0,,,0.000000
511,0,,,0.000000
601,0,,,0.000000
679,0,,,0.000000
769,0,,,0.000000
783,0,,,0.000000
819,0,,,0.000000
877,0,,,0.000000
907,0,,,0.000000
921,0,,,0.000000
957,0,,,0.000000
987,0,,,0.000000
997,0,,,0.000000
1021,0,,,0.000000
1047,0,,,0.000000
1053,0,,,0.000000
1083,0,,,0.000000
1087,0,,,0.000000
1243,0,,,0.000000
